research_citations,project_score,internship_score,courses,lpa
5,1,0,3,15
0,2,1,1,12
3,1,1,2,15
6,4,0,4,23
2,1,2,1,20
7,2,3,4,40
2,5,3,1,36
2,5,2,1,34
6,8,3,6,42
2,6,1,3,24
7,0,1,5,25
3,0,2,1,16
9,1,2,8,30
2,1,0,1,12
12,4,1,8,46
2,7,1,3,42
1,8,1,4,43
4,8,2,7,46
1,7,3,4,48
0,0,0,0,3
6,1,2,3,39
1,0,0,1,15
0,7,1,2,39
0,5,1,1,35
2,2,3,2,40
0,0,2,0,31
0,2,0,1,30
0,5,1,2,34
0,9,2,4,40
11,4,1,9,44
0,2,1,1,29
0,1,0,1,21
0,4,1,2,30
0,7,0,3,34
0,0,3,1,39
0,1,1,1,30
0,0,2,0,30
0,2,3,1,37
9,1,3,5,42
0,9,1,4,31
0,4,2,2,40
1,4,3,3,42
9,7,0,5,45
